idx,id,title,url,date
1,GoVCb-Gsj68,REVEALED: Why Krystal And Saagar Left The Hill,https://www.youtube.com/watch?v=GoVCb-Gsj68,unknown
2,Gm2b6Xv-uz0,THANK YOU Subscribers AND How Krystal and Saagar's Launch Was Almost A TOTAL DISASTER,https://www.youtube.com/watch?v=Gm2b6Xv-uz0,unknown
3,_X_CLiq0tw0,Krystal and Saagar REVEAL The New Breaking Points Set,https://www.youtube.com/watch?v=_X_CLiq0tw0,unknown
4,3VTb8FLnqEE,Glenn Greenwald: Stelter's NEW LOW in fawning interview with Biden Press Sec,https://www.youtube.com/watch?v=3VTb8FLnqEE,unknown
5,8tEey_QPZbU,Krystal and Saagar: Is Neoliberalism ALREADY The Winner Of Disastrous NYC Mayoral Race?,https://www.youtube.com/watch?v=8tEey_QPZbU,unknown
6,Wgltm0KPoa8,Krystal and Saagar REVEAL Why They Switched Sides!,https://www.youtube.com/watch?v=Wgltm0KPoa8,unknown
7,E25V0iIkw2w,Krystal and Saagar: Are Dems SCREWED After GOP Wins South Texas Mayor Race?,https://www.youtube.com/watch?v=E25V0iIkw2w,unknown
8,YAPsHAz1O6I,Krystal and Saagar: Facebook's IDIOTIC Trump Ban Is Trashed By EVERYONE,https://www.youtube.com/watch?v=YAPsHAz1O6I,unknown
9,cxtzHfmnG7U,Saagar Enjeti: Fauci Emails REVEAL LIES On Lab Leak Hypothesis,https://www.youtube.com/watch?v=cxtzHfmnG7U,unknown
10,qo-NjasArkQ,Krystal Ball: Groundbreaking Study PROVES Culture Wars KILL Class Politics,https://www.youtube.com/watch?v=qo-NjasArkQ,unknown
11,9I0-B7RU5Js,"Krystal and Saagar REVEAL How Facebook, Twitter DESTROYED Trump Online",https://www.youtube.com/watch?v=9I0-B7RU5Js,unknown
12,kLtRRMC-mRM,Krystal Ball: Workers REVOLT. Has Low Key General Strike ALREADY Started?,https://www.youtube.com/watch?v=kLtRRMC-mRM,unknown
13,kymQkvEleyg,NYT's Ben Smith: Is New Media SCARING Legacy Media?,https://www.youtube.com/watch?v=kymQkvEleyg,unknown
14,S0uiV8HZSbo,Krystal and Saagar: Bezos GOING TO SPACE As Amazon Workers Suffer New HUMILIATIONS,https://www.youtube.com/watch?v=S0uiV8HZSbo,unknown
15,rC99VT9qgz0,"Krystal and Saagar: Obama REFUSES To Talk Israel, Reveals Why He Was A Bad President",https://www.youtube.com/watch?v=rC99VT9qgz0,unknown
16,u5IIhqsoK_o,"Saagar Enjeti: Pentagon, Media COVER UP Bombshell UFO Findings",https://www.youtube.com/watch?v=u5IIhqsoK_o,unknown
17,tK_MySaK5Ro,Krystal and Saagar: ACLU ABANDONS Free Speech In Favor Of Trump Derangement,https://www.youtube.com/watch?v=tK_MySaK5Ro,unknown
18,XuDcpUnTg_Q,"CLIPS: Introducing Saagar's Podcast, The Realignment",https://www.youtube.com/watch?v=XuDcpUnTg_Q,unknown
19,Iefhq0IleGU,"Saagar Enjeti REVEALS How China BOUGHT Bush, Clinton, And Biden Family",https://www.youtube.com/watch?v=Iefhq0IleGU,unknown
20,Pub1fu7S5Zk,Krystal Ball: How Corp Dems LIED to you about the existential climate crisis,https://www.youtube.com/watch?v=Pub1fu7S5Zk,unknown
21,V7vuGPe_fhw,Briahna Joy Gray: MSM IGNORES How Toxic Pelosi Is To Dem Brand,https://www.youtube.com/watch?v=V7vuGPe_fhw,unknown
22,guUHWfxgsaY,Krystal and Saagar: Secret Docs REVEAL Billionaires Paid NOTHING In Taxes,https://www.youtube.com/watch?v=guUHWfxgsaY,unknown
23,YAiTpvw2kbg,Krystal and Saagar: VA Gov Race Shows How Suburban Libs DESTROYED Dem Party,https://www.youtube.com/watch?v=YAiTpvw2kbg,unknown
24,YLqg4T4cqNg,"Krystal and Saagar BEAT NYT, Become Top Political Podcast IN THE USA",https://www.youtube.com/watch?v=YLqg4T4cqNg,unknown
25,udYh32vLec4,"Krystal and Saagar: Top GOP Economist Says 'Poor, Minorites' NOT WORTH $15/hour",https://www.youtube.com/watch?v=udYh32vLec4,unknown
